error_category,recovered,unrecovered,total,recovery_rate
compilation_error,175,146,321,54.5
dependency_not_found,162,230,392,41.3
missing_file,121,158,279,43.4
network_error,2,1,3,66.7
syntax_error,74,99,173,42.8
timeout,55,167,222,24.8
version_mismatch,52,57,109,47.7
