slug,overall_result,total_calls,first_outcome,last_outcome,max_stage_reached,final_stage,regressed_from_peak
tporadowski/redis,FAIL,2,build_failed,build_failed,1,1,False
turbulenz/turbulenz_engine,SUCCESS,11,build_failed,accepted,3,3,False
umami-software/umami,SUCCESS,16,build_failed,accepted,3,3,False
ventoy/Ventoy,SUCCESS,15,build_failed,accepted,3,3,False
vfsfitvnm/ViMusic,SUCCESS,5,build_failed,accepted,3,3,False
vuematerial/vue-material,SUCCESS,35,build_failed,accepted,3,3,False
weareoutman/clockpicker,SUCCESS,7,build_failed,accepted,3,3,False
x64dbg/x64dbg,FAIL,19,build_failed,build_failed,1,1,False
xamarin/XamarinComponents,FAIL,8,build_failed,build_failed,1,1,False
xdissent/ievms,SUCCESS,7,build_failed,accepted,3,3,False
xl7dev/WebShell,SUCCESS,26,rejected,accepted,3,3,False
xyflow/xyflow,SUCCESS,12,build_failed,accepted,3,3,False
zaach/jsonlint,SUCCESS,5,smoke_failed,accepted,3,3,False
zen-browser/desktop,SUCCESS,22,build_failed,accepted,3,3,False
ziglang/zig,FAIL,29,build_failed,build_failed,1,1,False
zxing/zxing,SUCCESS,2,build_failed,accepted,3,3,False
