error_category,in_successful_repos,in_failed_repos,total
compilation_error,175,146,321
dependency_not_found,162,230,392
missing_file,121,158,279
network_error,2,1,3
syntax_error,74,99,173
timeout,55,167,222
version_mismatch,52,57,109
