domain,all_rejected,build_always_failed,no_iterations,no_verify_attempt,smoke_test_failure
utilities,1,11,0,1,9
machine-learning,0,0,1,0,15
systems-programming,0,10,0,0,3
web-development,0,10,0,0,0
mobile-development,0,5,0,0,1
data-science,0,3,0,0,3
security,1,1,0,0,2
education,0,1,0,0,2
scientific-computing,0,0,0,0,3
devops,0,2,0,0,0
game-development,0,1,0,0,0
