base_image,count
ubuntu,23
python,21
node,14
rust,6
debian,3
swift,3
eclipse-temurin,2
mcr.microsoft.com/windows/servercore,2
dart,1
mcr.microsoft.com/dotnet/sdk,1
elixir,1
microsoft/windowsservercore,1
haskell,1
windowsservercore-ltsc2025,1
maven,1
oven/bun,1
r-base,1
rocker/r-base,1
mcr.microsoft.com/dotnet/framework/sdk,1
