category,value,n_success,avg_iterations,avg_steps,avg_prompt_tokens_k,avg_duration_min
automation_level,semi_automated,167,1.71,22.8,370.7,27.8
automation_level,manual,15,1.47,19.7,282.5,23.3
automation_level,fully_automated,9,2.0,33.8,492.2,29.8
automation_level,reverse_engineering,5,2.2,25.2,614.1,19.4
